Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Vision,Colourblindness,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6795b946aaddff254bb35775,65a65ee458c61a56dd1f5866,AWAITING REVIEW,Not Applicable,2025-01-26T04:25:53.652000Z,2025-01-26T04:38:39.332000Z,,2025-01-26T04:38:40.022457Z,766,CYBX6B9B,82,English,Yes,"No, I have no issues seeing colours",19,Female,Mixed,Australia,Australia,Australia,English,Yes,Part-Time
6795ba04e810f1fa0ec725cd,62bb31196b1faed16b34e914,AWAITING REVIEW,Not Applicable,2025-01-26T04:31:21.039000Z,2025-01-26T04:47:05.405000Z,,2025-01-26T04:47:06.197589Z,945,CYBX6B9B,1056,English,Yes,"No, I have no issues seeing colours",47,Male,White,United States,United States,United States,English,No,Full-Time
6795baded27939346de9fea2,6630da3c3cfcc026ec681c29,AWAITING REVIEW,Not Applicable,2025-01-26T04:32:42.192000Z,2025-01-26T04:44:14.049000Z,,2025-01-26T04:44:14.778778Z,692,CYBX6B9B,980,English,Yes,"No, I have no issues seeing colours",40,Male,Black,United States,United States,United States,English,No,Full-Time
6795bb121007b84f5f5f2191,6083aac9d3384eb581f4345a,AWAITING REVIEW,Not Applicable,2025-01-26T04:33:27.216000Z,2025-01-26T05:08:01.892000Z,,2025-01-26T05:08:02.979440Z,2075,CYBX6B9B,2997,English,Yes,"No, I have no issues seeing colours",27,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6795bb9321ce79448941be3d,6062450c1bb2c6f42298bda8,AWAITING REVIEW,Not Applicable,2025-01-26T04:35:31.131000Z,2025-01-26T04:55:40.384000Z,,2025-01-26T04:55:41.078849Z,1210,CYBX6B9B,738,"English, French",Yes,"No, I have no issues seeing colours",45,Female,Mixed,Canada,Canada,Canada,English,Yes,Unemployed (and job seeking)
6795bbc798aa08060607c4a6,666dd3d9e53e0ff59d7cc164,AWAITING REVIEW,Not Applicable,2025-01-26T04:37:04.092000Z,2025-01-26T04:49:04.231000Z,,2025-01-26T04:49:04.893035Z,721,CYBX6B9B,687,"English, Spanish",Yes,"No, I have no issues seeing colours",20,Female,Other,United States,United States,Mexico,English,Yes,Unemployed (and job seeking)
6795bbc98d9ff83e061e46ca,5fed47cfcb429d79af4f8ded,AWAITING REVIEW,Not Applicable,2025-01-26T04:37:08.630000Z,2025-01-26T04:49:27.252000Z,,2025-01-26T04:49:27.925323Z,739,CYBX6B9B,1041,English,Yes,"No, I have no issues seeing colours",25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6795bbfd0a33788e8241bde8,6440660b8a7e066e05ef2bf8,AWAITING REVIEW,Not Applicable,2025-01-26T04:37:25.638000Z,2025-01-26T04:51:08.296000Z,,2025-01-26T04:51:08.924674Z,823,CYBX6B9B,359,English,Yes,"No, I have no issues seeing colours",35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6795bc0bdbd03a920de1b546,663a7ea45bdb587ae9f1877f,AWAITING REVIEW,Not Applicable,2025-01-26T04:37:43.627000Z,2025-01-26T04:53:52.706000Z,,2025-01-26T04:53:53.335980Z,970,CYBX6B9B,430,English,Yes,"No, I have no issues seeing colours",28,Male,Black,Nigeria,Canada,Nigeria,English,DATA_EXPIRED,DATA_EXPIRED
6795bc561669255c78f1c9e5,66d8d4bc588a3ca80699a800,AWAITING REVIEW,Not Applicable,2025-01-26T04:38:55.699000Z,2025-01-26T04:51:53.159000Z,,2025-01-26T04:51:53.780239Z,778,CYBX6B9B,61,English,Yes,"No, I have no issues seeing colours",20,Male,White,Australia,Australia,Australia,English,Yes,Part-Time
6795bc9f688640b465b3555f,632339023c3bf456b2b2061d,AWAITING REVIEW,Not Applicable,2025-01-26T04:40:03.758000Z,2025-01-26T04:52:27.103000Z,,2025-01-26T04:52:27.590083Z,744,CYBX6B9B,376,"Spanish, English",Yes,"No, I have no issues seeing colours",47,Male,Other,United States,United States,United States,English,No,Full-Time
6795bde85d632df119a22b62,5e6473fbc15dbe1f71eea95b,AWAITING REVIEW,Not Applicable,2025-01-26T04:45:35.338000Z,2025-01-26T04:58:50.219000Z,,2025-01-26T04:58:50.854560Z,795,CYBX6B9B,1936,English,Yes,"No, I have no issues seeing colours",43,Female,White,Canada,Canada,Canada,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6795be50d595a8a7bbe67c21,66439b79b7db557b92e6ea75,AWAITING REVIEW,Not Applicable,2025-01-26T04:48:57.394000Z,2025-01-26T05:07:11.651000Z,,2025-01-26T05:07:12.318655Z,1095,CYBX6B9B,250,English,Yes,"No, I have no issues seeing colours",42,Female,White,Canada,Canada,Canada,English,DATA_EXPIRED,DATA_EXPIRED
6795bec7008f0663ce432888,675484fe9fff137f21c8e286,AWAITING REVIEW,Not Applicable,2025-01-26T04:49:20.162000Z,2025-01-26T05:05:50.380000Z,,2025-01-26T05:05:51.104977Z,991,CYBX6B9B,55,English,Yes,"No, I have no issues seeing colours",18,Female,Black,Ghana,United States,United States,English,Yes,Full-Time
6795bf00ae98a341395f20d7,614e65edaccea7bee04b8ad8,AWAITING REVIEW,Not Applicable,2025-01-26T04:50:41.548000Z,2025-01-26T05:04:00.339000Z,,2025-01-26T05:04:00.947061Z,799,CYBX6B9B,1878,English,Yes,"No, I have no issues seeing colours",58,Male,White,Australia,Australia,Australia,English,No,Full-Time
6795bf62d7629ace0cb35665,5f3dfadfbb8b7422fc293393,AWAITING REVIEW,Not Applicable,2025-01-26T04:51:46.769000Z,2025-01-26T05:03:06.759000Z,,2025-01-26T05:03:07.512139Z,680,CYBX6B9B,572,English,Yes,"No, I have no issues seeing colours",25,Male,Asian,Canada,Canada,Vietnam,Vietnamese,Yes,Unemployed (and job seeking)
