base_trial_name,session_id,repeat_instance_index,trial_order_position,symmetry_transform
T20,213,0,74,2
T10,214,0,1,4
T27,214,0,2,1
T11,214,0,3,4
T23,214,0,4,6
T5F,214,0,5,6
T33,214,0,6,3
T15,214,0,7,6
T1B,214,0,8,1
T4A,214,0,9,0
T7B,214,0,10,7
T32,214,0,11,1
T2B,214,0,12,7
T1A,214,0,13,0
T9,214,0,14,7
T6C,214,0,15,6
T10,214,1,16,5
T20,214,0,17,3
T11,214,1,18,5
T31,214,0,19,1
T3A,214,0,20,6
T6D,214,0,21,7
T3D,214,0,22,1
T18,214,0,23,6
T19,214,0,24,4
T22,214,0,25,1
T5C,214,0,26,3
T12,214,0,27,0
T5A,214,0,28,1
T9,214,1,29,0
T16,214,0,30,1
T10,214,2,31,6
T8D,214,0,32,5
T11,214,2,33,6
T6B,214,0,34,5
T2C,214,0,35,0
T5D,214,0,36,4
T3B,214,0,37,7
T4E,214,0,38,4
T8A,214,0,39,2
T17,214,0,40,3
T7A,214,0,41,6
T24,214,0,42,6
T4D,214,0,43,3
T9,214,2,44,1
T8C,214,0,45,4
T10,214,3,46,7
T3C,214,0,47,0
T11,214,3,48,7
T34,214,0,49,3
T2D,214,0,50,1
T6A,214,0,51,4
T8B,214,0,52,3
T25,214,0,53,1
T21,214,0,54,6
T1D,214,0,55,3
T7D,214,0,56,1
T30,214,0,57,6
T13,214,0,58,6
T9,214,3,59,2
T14,214,0,60,7
T10,214,4,61,0
T5B,214,0,62,2
T11,214,4,63,0
T4F,214,0,64,5
T26,214,0,65,1
T7C,214,0,66,0
T5E,214,0,67,5
T29,214,0,68,6
T4B,214,0,69,1
T1C,214,0,70,2
T4C,214,0,71,2
T28,214,0,72,3
T2A,214,0,73,6
T9,214,4,74,3
T4D,215,0,1,4
T30,215,0,2,7
T5F,215,0,3,7
T28,215,0,4,4
T8D,215,0,5,6
T9,215,0,6,0
T7D,215,0,7,2
T5C,215,0,8,4
T7C,215,0,9,1
T27,215,0,10,2
T3C,215,0,11,1
T6C,215,0,12,7
T10,215,0,13,5
T11,215,0,14,5
T12,215,0,15,1
T32,215,0,16,2
T3B,215,0,17,0
T14,215,0,18,0
T5E,215,0,19,6
T2A,215,0,20,7
T9,215,1,21,1
T3A,215,0,22,7
T6A,215,0,23,5
T15,215,0,24,7
T2B,215,0,25,0
T1C,215,0,26,3
T6D,215,0,27,0
T10,215,1,28,6
T11,215,1,29,6
T26,215,0,30,2
T13,215,0,31,7
T4E,215,0,32,5
T21,215,0,33,7
T4F,215,0,34,6
T8B,215,0,35,4
T9,215,2,36,2
T2C,215,0,37,1
T7A,215,0,38,7
T4B,215,0,39,2
T1B,215,0,40,2
T7B,215,0,41,0
T8C,215,0,42,5
T10,215,2,43,7
T11,215,2,44,7
T19,215,0,45,5
T24,215,0,46,7
T5B,215,0,47,3
T34,215,0,48,4
T33,215,0,49,4
T5D,215,0,50,5
T9,215,3,51,3
T4A,215,0,52,1
